,H2OCus-HBrid,OCus-VacBrid,OHCus-HBrid,OHCus-VacBrid,systems
0,-3.779295722468662,-4.714143634065384,-3.90240941039068,-4.133723755022141,Ir_dos-cus-d(up)
1,-3.7792967367260446,-5.208723015452234,-3.9024082932268582,-4.177953203022456,Ir_dos-cus-d(down)
2,-3.7792962295975023,-4.9399552769519515,-3.902408851809284,-4.155559697921427,Ir_dos-cus-total
3,-3.820767128023589,-4.154130173093755,-3.7742222535040213,-4.1707293893091055,Ir_dos-br-d(up)
4,-3.8207655501355413,-4.058290935315624,-3.7742306741124754,-4.165263939062733,Ir_dos-br-d(down)
5,-3.8207663390793307,-4.104831844217133,-3.7742264638121106,-4.167991662835316,Ir_dos-br-total
6,-3.820767128023589,-4.154130173093755,-3.7742222535040213,-4.1707293893091055,IrCusBr-d(up)
7,-3.8207655501355413,-4.058290935315624,-3.7742306741124754,-4.165263939062733,IrCusBr-d(down)
8,-3.8207663390793307,-4.104831844217133,-3.7742264638121106,-4.167991662835316,IrCusBr-total
9,-8.188388842204603,-3.638732364712373,-4.2908082759989465,-4.090903829754171,O_dos-cus-p(up)
10,-8.188387808529308,-3.7866038108553552,-4.29081216327546,-4.109433080134369,O_dos-cus-p(down)
11,-8.188388325366956,-3.6977600091514002,-4.290810219634182,-4.100064729078678,O_dos-cus-total
12,-6.919904153749566,-3.5647468413690757,-5.319881463676076,-3.5737578075892786,O_dos-br-p(up)
13,-6.919904153749566,-3.550269864087492,-5.31988422721615,-3.5727538956408185,O_dos-br-p(down)
14,-6.919904153749566,-3.5573815388355214,-5.319882845446827,-3.57325565270587,O_dos-br-total
15,-6.919904153749566,-3.5647468413690757,-5.319881463676076,-3.5737578075892786,OCusBr-p(up)
16,-6.919904153749566,-3.550269864087492,-5.31988422721615,-3.5727538956408185,OCusBr-p(down)
17,-6.919904153749566,-3.5573815388355214,-5.319882845446827,-3.57325565270587,OCusBr-total
