   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...     703  704  751  755  756  757  760  761  800  820  860  915  923  930  951  952  959  960  997  998  999 1000 1001 1002 1020 1029 1076 1077 1078 1079 1080 1081 1082 1110 1111 1112 1161 1162 1163 1164 1220 1224 1225 1233 1234 1359 1365 1400 1410 1412 1453 1477 1544 1571 1575 1648 1650 1678 1771 1772 1773 1775 1792 1793 1795 1903 1947 1948 2013 2129 2160 2189 2230 2253 2280 2300 2328 2360 2407
     2   ...    2866 2867 2914 2918 2919 2920 2923 2924 2963 2983 3023 3078 3086 3093 3114 3115 3122 3123 3160 3161 3162 3163 3164 3165 3183 3192 3239 3240 3241 3242 3243 3244 3245 3273 3274 3275 3324 3325 3326 3327 3383 3387 3388 3396 3397 3522 3528 3563 3573 3575 3616 3640 3707 3734 3738 3811 3813 3841 3934 3935 3936 3938 3955 3956 3958 4066 4110 4111 4176 4292 4323 4352 4393 4416 4443 4463 4491 4523 4570
     3   ...    5029 5030 5077 5081 5082 5083 5086 5087 5126 5146 5186 5241 5249 5256 5277 5278 5285 5286 5323 5324 5325 5326 5327 5328 5346 5355 5402 5403 5404 5405 5406 5407 5408 5436 5437 5438 5487 5488 5489 5490 5546 5550 5551 5559 5560 5685 5691 5726 5736 5738 5779 5803 5870 5897 5901 5974 5976 6004 6097 6098 6099 6101 6118 6119 6121 6229 6273 6274 6309 6386 6403 6414 6423 6432 6441 6448 6456 6465 6474
     4   ...      11   12   13   14   15   16   17   18   19   20   21   22  118  129  130  134  156  157  158  181  182  202  203  204  226  227  232  245  246  258  299  300  301  302  316  322  331  339  342  346  349  352  355  359  362  365  368  377  387  398  753  808  831  853  866  873  889  904  931 1036 1185 6292 6310 6311 6312 6313 6319 6333 6341 6366 6469 6478
     5   ...    1955 1972 1993 2016 2017 2018 2019 2020 2026 2049 2063 2093 2150 2178 2179 2237 2243 2260 2285 2293 2367 2370 2420 2425 2426 2484 2487 2513 2520 2522 2526 2542 2543 2545 2548 2552 2557 2580 2584 2593 2599 2601 2615 2617 2618 2621 2683 2686 2699 2703 2704 2747 2748 2760 2787 2794 2795 2796 2798 2799 2801 2916 2971 2994 3016 3029 3036 3052 3067 3094 3199 3348
     6   ...    4118 4135 4156 4179 4180 4181 4182 4183 4189 4212 4226 4256 4313 4341 4342 4400 4406 4423 4448 4456 4530 4533 4583 4588 4589 4647 4650 4676 4683 4685 4689 4705 4706 4708 4711 4715 4720 4743 4747 4756 4762 4764 4778 4780 4781 4784 4846 4849 4862 4866 4867 4910 4911 4923 4950 4957 4958 4959 4961 4962 4964 5079 5134 5157 5179 5192 5199 5215 5230 5257 5362 5511
     7   ...     713  738  740  742  765  794  796  805  849  854  874  890  918  934  936  937  972  973  976 1039 1040 1041 1042 1043 1044 1054 1055 1056 1057 1125 1126 1127 1128 1129 1130 1145 1183 1184 1186 1191 1250 1251 1264 1265 1331 1332 1492 1522 1596 1597 1620 1621 1623 1703 1707 1738 1741 1838 1841 1851 1936 1937 2005 2117 2152 2180 2219 2244 2272 2295 2320 2347 2388
     8   ...    2876 2901 2903 2905 2928 2957 2959 2968 3012 3017 3037 3053 3081 3097 3099 3100 3135 3136 3139 3202 3203 3204 3205 3206 3207 3217 3218 3219 3220 3288 3289 3290 3291 3292 3293 3308 3346 3347 3349 3354 3413 3414 3427 3428 3494 3495 3655 3685 3759 3760 3783 3784 3786 3866 3870 3901 3904 4001 4004 4014 4099 4100 4168 4280 4315 4343 4382 4407 4435 4458 4483 4510 4551
     9   ...    5039 5064 5066 5068 5091 5120 5122 5131 5175 5180 5200 5216 5244 5260 5262 5263 5298 5299 5302 5365 5366 5367 5368 5369 5370 5380 5381 5382 5383 5451 5452 5453 5454 5455 5456 5471 5509 5510 5512 5517 5576 5577 5590 5591 5657 5658 5818 5848 5922 5923 5946 5947 5949 6029 6033 6064 6067 6164 6167 6177 6262 6263 6302 6378 6398 6409 6419 6429 6438 6446 6452 6462 6471
    10   ...      24   25   26   27   28   29   30   31   32   33   34   35   36  369  374  375  378  379  384  388  389  394  395  399  400  438  439  446  447  455  462  471  472  491  492  501  509  520  530  543  556  557  570  618  619  620  621  644  665  674  822  842  861  869  882  895  913  945 1072 1221 6306 6324 6325 6354 6355 6356 6357 6370 6372 6373
    11   ...    1985 2010 2035 2036 2074 2079 2080 2081 2082 2098 2102 2104 2105 2170 2171 2193 2203 2254 2264 2270 2279 2305 2315 2358 2359 2379 2384 2406 2445 2478 2511 2514 2518 2546 2549 2554 2574 2581 2594 2595 2622 2627 2635 2643 2671 2672 2711 2714 2718 2738 2740 2741 2749 2750 2761 2767 2768 2773 2819 2832 2985 3005 3024 3032 3045 3058 3076 3108 3235 3384
