# energy d(up) d(down)
-9.876252934000000039e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.874352933999999493e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.872452933999998947e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.870542933999999491e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.868642933999998945e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.866742933999999821e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.864842933999999275e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.862942934000000150e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.861032933999999273e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.859132934000000148e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.857232933999999602e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.855332933999999057e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.853432933999999932e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.851522933999999054e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.849622933999999930e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.847722933999999384e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.845822934000000259e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.843922933999999714e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.842012934000000257e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.840112933999999711e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.838212933999999166e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.836312934000000041e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.834412933999999495e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.832502934000000039e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.830602933999999493e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.828702933999998947e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.826802933999999823e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.824892933999998945e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.822992933999999821e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.821092933999999275e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.819192934000000150e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.817292933999999605e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.815382934000000148e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.813482933999999602e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.811582933999999057e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.809682933999999932e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.807782933999999386e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.805872933999999930e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.803972933999999384e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.802072934000000259e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.800172933999999714e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.798272933999999168e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.796362933999999711e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.794462933999999166e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.792562934000000041e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.790662933999999495e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.788762933999998950e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.786852933999999493e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.784952933999998947e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.783052933999999823e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.781152933999999277e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.779242933999999821e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.777342933999999275e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.775442934000000150e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.773542933999999605e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.771642933999999059e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.769732933999999602e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.767832933999999057e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.765932933999999932e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.764032933999999386e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.762132934000000262e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.760222933999999384e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.758322934000000259e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.756422933999999714e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.754522933999999168e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.752622934000000043e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.750712933999999166e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.748812934000000041e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.746912933999999495e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.745012933999998950e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.743112933999999825e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.741202933999998947e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.739302933999999823e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.737402933999999277e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.735502934000000153e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.733592933999999275e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.731692934000000150e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.729792933999999605e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.727892933999999059e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.725992933999999934e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.724082933999999057e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.722182933999999932e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.720282933999999386e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.718382934000000262e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.716482933999999716e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.714572934000000259e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.712672933999999714e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.710772933999999168e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.708872934000000043e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.706972933999999498e+01 0.000000000000000000e+00 -0.000000000000000000e+00
